PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
Cha-F-100165,Gad1-F-200003,4,1
VGlut-F-400880,VGlut-F-500874,7,1
Cha-F-400194,Gad1-F-200078,7,1
Cha-F-400194,fru-F-600151,3,1
fru-F-300171,fru-F-300168,4,1
fru-F-300171,VGlut-F-000453,3,1
fru-F-300171,Cha-F-600143,1,1
fru-F-300171,Cha-F-500297,4,1
fru-F-300171,VGlut-F-000465,2,1
Cha-F-000280,VGlut-F-000465,2,1
Cha-F-000280,fru-F-600151,16,1
Gad1-F-900198,fru-F-000069,1,1
Gad1-F-200218,Gad1-F-200078,1,1
Gad1-F-200218,fru-F-300168,2,1
Gad1-F-400023,Cha-F-000280,2,1
Gad1-F-400023,VGlut-F-000465,1,1
Gad1-F-400023,Gad1-F-200078,4,1
Gad1-F-400023,fru-F-600151,5,1
fru-F-600020,fru-F-000069,4,1
Cha-F-600239,VGlut-F-000465,3,1
Cha-F-600239,fru-F-200039,1,1
Cha-F-600239,fru-F-300168,1,1
Cha-F-600239,Gad1-F-200078,3,1
Cha-F-600239,Gad1-F-000117,7,1
Gad1-F-200003,Cha-F-000280,2,1
Gad1-F-200003,Gad1-F-000117,1,1
Gad1-F-200003,Gad1-F-200078,1,1
fru-F-600151,Gad1-F-000117,1,1
Cha-F-300281,fru-F-300168,1,1
Cha-F-300281,VGlut-F-000465,2,1
Cha-F-300281,VGlut-F-000453,1,1
Cha-F-300281,Cha-F-000280,1,1
Gad1-F-900119,fru-F-000069,26,1
Gad1-F-900119,fru-F-300171,2,1
Gad1-F-900119,Cha-F-500297,1,1
Gad1-F-900119,VGlut-F-000453,14,1
Cha-F-500233,fru-F-200039,4,1
Cha-F-500233,fru-F-300168,5,1
Cha-F-500233,Cha-F-000280,2,1
Cha-F-500233,Gad1-F-200078,2,1
Cha-F-500233,fru-F-600151,1,1
Cha-F-600263,Cha-F-000280,2,1
npf-F-500000,VGlut-F-000453,5,1
npf-F-500000,fru-F-300171,4,1
npf-F-500000,Gad1-F-000117,1,1
npf-F-500000,VGlut-F-000465,7,1
npf-F-500000,Cha-F-500297,5,1
npf-F-500000,fru-F-000069,21,1
npf-F-500000,fru-F-300168,10,1
